id;accuracy;pred_1_1;pred_1_0;pred_0_1;pred_0_0;class_recall_1_1;class_recall_0_0;class_precision_1_1;class_precision_0_0;number_of_trees;max_depth;pruning,,,accuracy,pred. false / true false,pred. true / true false,pred. false / true true,pred. true / true true,class recall / true false,class recall / true true,class precision,class precision,number of trees,maximal depth,prepruning
1;73.84%;326;167;160;597;66.13%;78.86%;67.08%;78.14%;50;10;TRUE,,1,73.84,326,167,160,597,66.13,78.86,67.08,78.14,50,10,TRUE
2;73.44%;323;170;162;595;65.52%;78.60%;66.60%;77.78%;100;10;TRUE,,2,73.44,323,170,162,595,65.52,78.60,66.60,77.78,100,10,TRUE
3;73.44%;323;170;162;595;65.52%;78.60%;66.60%;77.78%;200;10;TRUE,,3,73.44,323,170,162,595,65.52,78.60,66.60,77.78,200,10,TRUE
4;73.44%;323;170;162;595;65.52%;78.60%;66.60%;77.78%;300;10;TRUE,,4,73.44,323,170,162,595,65.52,78.60,66.60,77.78,300,10,TRUE
5;73.44%;323;170;162;595;65.52%;78.60%;66.60%;77.78%;400;10;TRUE,,5,73.44,323,170,162,595,65.52,78.60,66.60,77.78,400,10,TRUE
6;73.44%;322;171;161;596;65.31%;78.73%;66.67%;77.71%;500;10;TRUE,,6,73.44,322,171,161,596,65.31,78.73,66.67,77.71,500,10,TRUE
7;74.00%;314;179;146;611;63.69%;80.71%;68.26%;77.34%;50;15;TRUE,,7,74.00,314,179,146,611,63.69,80.71,68.26,77.34,50,15,TRUE
8;74.24%;316;177;145;612;64.10%;80.85%;68.55%;77.57%;100;15;TRUE,,8,74.24,316,177,145,612,64.10,80.85,68.55,77.57,100,15,TRUE
9;74.72%;314;179;137;620;63.69%;81.90%;69.62%;77.60%;200;15;TRUE,,9,74.72,314,179,137,620,63.69,81.90,69.62,77.60,200,15,TRUE
10;74.72%;317;176;140;617;64.30%;81.51%;69.37%;77.81%;300;15;TRUE,,10,74.72,317,176,140,617,64.30,81.51,69.37,77.81,300,15,TRUE
11;74.72%;316;177;139;618;64.10%;81.64%;69.45%;77.74%;400;15;TRUE,,11,74.72,316,177,139,618,64.10,81.64,69.45,77.74,400,15,TRUE
12;74.80%;316;177;138;619;64.10%;81.77%;69.60%;77.76%;500;15;TRUE,,12,74.80,316,177,138,619,64.10,81.77,69.60,77.76,500,15,TRUE
13;73.84%;308;185;142;615;62.47%;81.24%;68.44%;76.88%;50;20;TRUE,,13,73.84,308,185,142,615,62.47,81.24,68.44,76.88,50,20,TRUE
14;73.92%;313;180;146;611;63.49%;80.71%;68.19%;77.24%;100;20;TRUE,,14,73.92,313,180,146,611,63.49,80.71,68.19,77.24,100,20,TRUE
15;74.64%;312;181;136;621;63.29%;82.03%;69.64%;77.43%;200;20;TRUE,,15,74.64,312,181,136,621,63.29,82.03,69.64,77.43,200,20,TRUE
16;74.64%;313;180;137;620;63.49%;81.90%;69.56%;77.50%;300;20;TRUE,,16,74.64,313,180,137,620,63.49,81.90,69.56,77.50,300,20,TRUE
17;74.80%;313;180;135;622;63.49%;82.17%;69.87%;77.56%;400;20;TRUE,,17,74.80,313,180,135,622,63.49,82.17,69.87,77.56,400,20,TRUE
18;74.72%;313;180;136;621;63.49%;82.03%;69.71%;77.53%;500;20;TRUE,,18,74.72,313,180,136,621,63.49,82.03,69.71,77.53,500,20,TRUE
19;73.92%;308;185;141;616;62.47%;81.37%;68.60%;76.90%;50;25;TRUE,,19,73.92,308,185,141,616,62.47,81.37,68.60,76.90,50,25,TRUE
20;74.16%;310;183;140;617;62.88%;81.51%;68.89%;77.12%;100;25;TRUE,,20,74.16,310,183,140,617,62.88,81.51,68.89,77.12,100,25,TRUE
21;74.56%;311;182;136;621;63.08%;82.03%;69.57%;77.33%;200;25;TRUE,,21,74.56,311,182,136,621,63.08,82.03,69.57,77.33,200,25,TRUE
22;74.64%;313;180;137;620;63.49%;81.90%;69.56%;77.50%;300;25;TRUE,,22,74.64,313,180,137,620,63.49,81.90,69.56,77.50,300,25,TRUE
23;74.64%;313;180;137;620;63.49%;81.90%;69.56%;77.50%;400;25;TRUE,,23,74.64,313,180,137,620,63.49,81.90,69.56,77.50,400,25,TRUE
24;74.72%;313;180;136;621;63.49%;82.03%;69.71%;77.53%;500;25;TRUE,,24,74.72,313,180,136,621,63.49,82.03,69.71,77.53,500,25,TRUE
25;73.92%;308;185;141;616;62.47%;81.37%;68.60%;76.90%;50;30;TRUE,,25,73.92,308,185,141,616,62.47,81.37,68.60,76.90,50,30,TRUE
26;74.16%;311;182;141;616;63.08%;81.37%;68.81%;77.19%;100;30;TRUE,,26,74.16,311,182,141,616,63.08,81.37,68.81,77.19,100,30,TRUE
27;74.40%;311;182;138;619;63.08%;81.77%;69.27%;77.28%;200;30;TRUE,,27,74.40,311,182,138,619,63.08,81.77,69.27,77.28,200,30,TRUE
28;74.48%;313;180;139;618;63.49%;81.64%;69.25%;77.44%;300;30;TRUE,,28,74.48,313,180,139,618,63.49,81.64,69.25,77.44,300,30,TRUE
29;74.48%;313;180;139;618;63.49%;81.64%;69.25%;77.44%;400;30;TRUE,,29,74.48,313,180,139,618,63.49,81.64,69.25,77.44,400,30,TRUE
30;74.72%;313;180;136;621;63.49%;82.03%;69.71%;77.53%;500;30;TRUE,,30,74.72,313,180,136,621,63.49,82.03,69.71,77.53,500,30,TRUE
31;73.28%;335;158;176;581;67.95%;76.75%;65.56%;78.62%;50;10;FALSE,,31,73.28,335,158,176,581,67.95,76.75,65.56,78.62,50,10,FALSE
32;72.88%;334;159;180;577;67.75%;76.22%;64.98%;78.40%;100;10;FALSE,,32,72.88,334,159,180,577,67.75,76.22,64.98,78.40,100,10,FALSE
33;73.04%;327;166;171;586;66.33%;77.41%;65.66%;77.93%;200;10;FALSE,,33,73.04,327,166,171,586,66.33,77.41,65.66,77.93,200,10,FALSE
34;73.12%;329;164;172;585;66.73%;77.28%;65.67%;78.10%;300;10;FALSE,,34,73.12,329,164,172,585,66.73,77.28,65.67,78.10,300,10,FALSE
35;73.44%;329;164;168;589;66.73%;77.81%;66.20%;78.22%;400;10;FALSE,,35,73.44,329,164,168,589,66.73,77.81,66.20,78.22,400,10,FALSE
36;73.52%;327;166;165;592;66.33%;78.20%;66.46%;78.10%;500;10;FALSE,,36,73.52,327,166,165,592,66.33,78.20,66.46,78.10,500,10,FALSE
37;74.72%;315;178;138;619;63.89%;81.77%;69.54%;77.67%;50;15;FALSE,,37,74.72,315,178,138,619,63.89,81.77,69.54,77.67,50,15,FALSE
38;74.40%;316;177;143;614;64.10%;81.11%;68.85%;77.62%;100;15;FALSE,,38,74.40,316,177,143,614,64.10,81.11,68.85,77.62,100,15,FALSE
39;74.80%;315;178;137;620;63.89%;81.90%;69.69%;77.69%;200;15;FALSE,,39,74.80,315,178,137,620,63.89,81.90,69.69,77.69,200,15,FALSE
40;74.80%;317;176;139;618;64.30%;81.64%;69.52%;77.83%;300;15;FALSE,,40,74.80,317,176,139,618,64.30,81.64,69.52,77.83,300,15,FALSE
41;74.40%;314;179;141;616;63.69%;81.37%;69.01%;77.48%;400;15;FALSE,,41,74.40,314,179,141,616,63.69,81.37,69.01,77.48,400,15,FALSE
42;74.80%;315;178;137;620;63.89%;81.90%;69.69%;77.69%;500;15;FALSE,,42,74.80,315,178,137,620,63.89,81.90,69.69,77.69,500,15,FALSE
43;74.56%;308;185;133;624;62.47%;82.43%;69.84%;77.13%;50;20;FALSE,,43,74.56,308,185,133,624,62.47,82.43,69.84,77.13,50,20,FALSE
44;74.48%;312;181;138;619;63.29%;81.77%;69.33%;77.38%;100;20;FALSE,,44,74.48,312,181,138,619,63.29,81.77,69.33,77.38,100,20,FALSE
45;74.88%;308;185;129;628;62.47%;82.96%;70.48%;77.24%;200;20;FALSE,,45,74.88,308,185,129,628,62.47,82.96,70.48,77.24,200,20,FALSE
46;74.88%;308;185;129;628;62.47%;82.96%;70.48%;77.24%;300;20;FALSE,,46,74.88,308,185,129,628,62.47,82.96,70.48,77.24,300,20,FALSE
47;74.72%;305;188;128;629;61.87%;83.09%;70.44%;76.99%;400;20;FALSE,,47,74.72,305,188,128,629,61.87,83.09,70.44,76.99,400,20,FALSE
48;74.72%;306;187;129;628;62.07%;82.96%;70.34%;77.06%;500;20;FALSE,,48,74.72,306,187,129,628,62.07,82.96,70.34,77.06,500,20,FALSE
49;74.32%;306;187;134;623;62.07%;82.30%;69.55%;76.91%;50;25;FALSE,,49,74.32,306,187,134,623,62.07,82.30,69.55,76.91,50,25,FALSE
50;74.40%;308;185;135;622;62.47%;82.17%;69.53%;77.08%;100;25;FALSE,,50,74.40,308,185,135,622,62.47,82.17,69.53,77.08,100,25,FALSE
51;74.48%;308;185;134;623;62.47%;82.30%;69.68%;77.10%;200;25;FALSE,,51,74.48,308,185,134,623,62.47,82.30,69.68,77.10,200,25,FALSE
52;74.88%;308;185;129;628;62.47%;82.96%;70.48%;77.24%;300;25;FALSE,,52,74.88,308,185,129,628,62.47,82.96,70.48,77.24,300,25,FALSE
53;74.72%;305;188;128;629;61.87%;83.09%;70.44%;76.99%;400;25;FALSE,,53,74.72,305,188,128,629,61.87,83.09,70.44,76.99,400,25,FALSE
54;74.64%;306;187;130;627;62.07%;82.83%;70.18%;77.03%;500;25;FALSE,,54,74.64,306,187,130,627,62.07,82.83,70.18,77.03,500,25,FALSE
55;74.16%;302;191;132;625;61.26%;82.56%;69.59%;76.59%;50;30;FALSE,,55,74.16,302,191,132,625,61.26,82.56,69.59,76.59,50,30,FALSE
56;74.32%;307;186;135;622;62.27%;82.17%;69.46%;76.98%;100;30;FALSE,,56,74.32,307,186,135,622,62.27,82.17,69.46,76.98,100,30,FALSE
57;74.24%;303;190;132;625;61.46%;82.56%;69.66%;76.69%;200;30;FALSE,,57,74.24,303,190,132,625,61.46,82.56,69.66,76.69,200,30,FALSE
58;74.56%;302;191;127;630;61.26%;83.22%;70.40%;76.74%;300;30;FALSE,,58,74.56,302,191,127,630,61.26,83.22,70.40,76.74,300,30,FALSE
59;74.64%;301;192;125;632;61.05%;83.49%;70.66%;76.70%;400;30;FALSE,,59,74.64,301,192,125,632,61.05,83.49,70.66,76.70,400,30,FALSE
60;74.40%;300;193;127;630;60.85%;83.22%;70.26%;76.55%;500;30;FALSE,,60,74.40,300,193,127,630,60.85,83.22,70.26,76.55,500,30,FALSE
